season,match_id,date,home_team,away_team,home_goals,away_goals,result,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_possession,away_possession,home_ppda,away_ppda,home_big_chances,away_big_chances,home_set_piece_xg,away_set_piece_xg,home_red_cards,away_red_cards,referee,stadium,attendance,source_name,source_url_or_page_title,source_timestamp,is_real_data,data_status,notes
2014-15,LIGUE1HIST_1415_025_Montpellier_Metz,2014-08-23,Montpellier,Metz,2,0,home_win,,,12,12,5,3,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/F1.csv,2026-09-16T20:27:13+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,LIGUE1HIST_1415_026_OGCNice_Bordeaux,2014-08-23,OGC Nice,Bordeaux,1,3,away_win,,,11,12,2,7,,,,,,,,,0,1,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/F1.csv,2026-09-16T20:27:13+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,LIGUE1HIST_1415_027_Reims_Caen,2014-08-23,Reims,Caen,0,2,away_win,,,12,16,4,6,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/F1.csv,2026-09-16T20:27:13+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,LIGUE1HIST_1415_028_OlympiqueLyonnais_RCLens,2014-08-24,Olympique Lyonnais,RC Lens,0,1,away_win,,,16,7,4,2,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/F1.csv,2026-09-16T20:27:13+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,LIGUE1HIST_1415_029_Nantes_ASMonaco,2014-08-24,Nantes,AS Monaco,0,1,away_win,,,15,6,5,2,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/F1.csv,2026-09-16T20:27:13+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,LIGUE1HIST_1415_030_StEtienne_StadeRennaisFC,2014-08-24,St Etienne,Stade Rennais FC,0,0,draw,,,11,5,2,0,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/F1.csv,2026-09-16T20:27:13+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,LIGUE1HIST_1415_031_OlympiquedeMarseille_OGCNice,2014-08-29,Olympique de Marseille,OGC Nice,4,0,home_win,,,20,8,8,3,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/F1.csv,2026-09-16T20:27:13+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,LIGUE1HIST_1415_032_Caen_StadeRennaisFC,2014-08-30,Caen,Stade Rennais FC,0,1,away_win,,,13,10,4,1,,,,,,,,,1,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/F1.csv,2026-09-16T20:27:13+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,LIGUE1HIST_1415_033_RCLens_Reims,2014-08-30,RC Lens,Reims,4,2,home_win,,,17,10,6,2,,,,,,,,,0,1,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/F1.csv,2026-09-16T20:27:13+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,LIGUE1HIST_1415_034_FCLorient_Guingamp,2014-08-30,FC Lorient,Guingamp,4,0,home_win,,,11,8,6,2,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/F1.csv,2026-09-16T20:27:13+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
