season,match_id,date,home_team,away_team,home_goals,away_goals,result,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_possession,away_possession,home_ppda,away_ppda,home_big_chances,away_big_chances,home_set_piece_xg,away_set_piece_xg,home_red_cards,away_red_cards,referee,stadium,attendance,source_name,source_url_or_page_title,source_timestamp,is_real_data,data_status,notes
2026-27,SERIEA2627_MW04_039_Torino_Roma,2026-09-14,Torino,Roma,0,2,away_win,,,,,,,,,,,,,,,,,,Olimpico - Grande Torino,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW04_034_Internazionale_Udinese,2026-09-14,Internazionale,Udinese,5,3,home_win,,,,,,,,,,,,,,,,,,Giuseppe Meazza,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW05_046_Monza_Sassuolo,2026-09-18,Monza,Sassuolo,2,1,home_win,,,,,,,,,,,,,,,,,,Brianteo,,espn.com (fixturedownload.com/football-data.co.uk lag confirmed),,2026-09-21T07:35:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW05_041_Bologna_Torino,2026-09-19,Bologna,Torino,1,1,draw,,,,,,,,,,,,,,,,,,Renato Dall'Ara,,espn.com (fixturedownload.com/football-data.co.uk lag confirmed),,2026-09-21T07:35:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW05_049_Udinese_Cagliari,2026-09-19,Udinese,Cagliari,0,1,away_win,,,,,,,,,,,,,,,,,,Friuli/Bluenergy stadium,,espn.com (fixturedownload.com/football-data.co.uk lag confirmed),,2026-09-21T07:35:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW05_048_Roma_Internazionale,2026-09-19,Roma,Internazionale,2,2,draw,,,,,,,,,,,,,,,,,,Olimpico,,espn.com (fixturedownload.com/football-data.co.uk lag confirmed),,2026-09-21T07:35:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW05_050_Venezia_Lazio,2026-09-19,Venezia,Lazio,0,2,away_win,,,,,,,,,,,,,,,,,,Pier Luigi Penzo,,espn.com (fixturedownload.com/football-data.co.uk lag confirmed),,2026-09-21T07:35:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW05_042_Fiorentina_Napoli,2026-09-20,Fiorentina,Napoli,1,1,draw,,,,,,,,,,,,,,,,,,Artemio Franchi,,espn.com (fixturedownload.com/football-data.co.uk lag confirmed),,2026-09-21T07:35:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW05_043_Frosinone_Como,2026-09-20,Frosinone,Como,2,0,home_win,,,,,,,,,,,,,,,,,,Benito Stirpe,,espn.com (fixturedownload.com/football-data.co.uk lag confirmed),,2026-09-21T07:35:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW05_047_Parma_Genoa,2026-09-20,Parma,Genoa,2,1,home_win,,,,,,,,,,,,,,,,,,Ennio Tardini,,espn.com (fixturedownload.com/football-data.co.uk lag confirmed),,2026-09-21T07:35:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW05_044_Juventus_Atalanta,2026-09-20,Juventus,Atalanta,2,0,home_win,,,,,,,,,,,,,,,,,,Allianz Stadium,,espn.com (fixturedownload.com/football-data.co.uk lag confirmed),,2026-09-21T07:35:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW05_045_Milan_Lecce,2026-09-20,Milan,Lecce,3,0,home_win,,,,,,,,,,,,,,,,,,Giuseppe Meazza,,espn.com (fixturedownload.com/football-data.co.uk lag confirmed),,2026-09-21T07:35:00+00:00,True,completed,Locked by src/update_after_matchweek.py
